,date,open,high,low,close,volume,average,barCount
0,2015-08-21,116.04,117.65,105.64,105.76,2804050,112.425,1284970
1,2015-08-28,94.9,113.31,92.0,113.29,4221840,107.5045,1871248
2,2015-09-04,112.03,114.53,107.36,109.27,2546289,110.7915,1191303
3,2015-09-11,111.65,114.2,109.77,114.21,2185276,112.165,1043410
4,2015-09-18,116.58,116.89,111.84,113.45,2312440,115.132,1089042
5,2015-09-25,113.67,116.69,112.37,114.71,2035690,114.228,994618
6,2015-10-02,113.85,114.57,107.31,110.38,2676209,110.212,1288253
7,2015-10-09,109.88,112.28,108.21,112.12,2305608,110.3185,1053922
8,2015-10-16,112.74,112.75,109.56,111.04,1603894,111.263,741663
9,2015-10-23,110.8,119.23,110.11,119.08,1921741,114.863,869468
10,2015-10-30,118.08,121.22,113.99,119.5,2717645,117.509,1157544
11,2015-11-06,119.87,123.82,119.61,121.06,1646572,121.724,740500
12,2015-11-13,120.96,121.81,112.27,112.34,1868007,116.5255,854380
13,2015-11-20,111.38,119.92,111.0,119.3,1630347,116.568,735919
14,2015-11-27,119.27,119.73,117.12,117.81,875499,118.4045,414111
15,2015-12-04,117.99,119.41,114.22,119.03,1671328,117.483,788396
16,2015-12-11,118.94,119.86,112.85,113.18,1567920,116.286,785532
17,2015-12-18,112.18,112.8,105.81,106.03,2520219,110.023,1213775
18,2015-12-24,107.28,109.0,105.57,108.03,1033897,107.376,493268
19,2015-12-31,107.59,109.43,104.82,105.26,1042988,107.0065,490345
20,2016-01-08,102.61,105.85,96.43,96.96,2831829,100.553,1408789
21,2016-01-15,98.97,101.19,95.36,97.13,2574728,98.334,1303848
22,2016-01-22,98.41,101.46,93.42,101.42,2063102,97.1735,1048894
23,2016-01-29,101.52,101.53,92.39,97.34,3158171,96.479,1505557
24,2016-02-05,96.47,97.33,93.69,94.02,1791739,95.568,976128
25,2016-02-12,93.13,96.35,92.59,93.99,1999633,94.3215,1109718
26,2016-02-19,94.96,98.89,94.61,96.04,1380333,96.615,688767
27,2016-02-26,96.31,98.03,93.32,96.91,1351838,95.896,698857
28,2016-03-04,96.86,103.75,96.65,103.01,1689743,100.421,808952
29,2016-03-11,102.39,102.83,100.15,102.26,1313323,101.422,668336
30,2016-03-18,101.91,106.5,101.78,105.92,1479155,105.052,677986
31,2016-03-24,105.93,107.65,104.89,105.67,1008505,106.2655,486899
32,2016-04-01,106.0,110.42,104.88,109.99,1210841,108.38,555424
33,2016-04-08,110.44,112.19,108.12,108.66,1222880,110.0545,607242
34,2016-04-15,108.97,112.39,108.66,109.85,1356271,110.836,653377
35,2016-04-22,108.89,108.95,104.62,105.68,1486193,106.81,738807
36,2016-04-29,104.9,105.65,92.51,93.74,2866295,97.7775,1350772
37,2016-05-06,93.96,95.9,91.85,92.72,1955292,93.646,889383
38,2016-05-13,93.0,93.77,89.47,90.52,1886814,91.656,874064
39,2016-05-20,92.45,95.43,91.65,95.22,1779219,94.0435,850973
40,2016-05-27,95.87,100.73,95.67,100.35,1551692,98.6205,739826
41,2016-06-03,99.6,100.4,96.63,97.92,1145539,98.478,553497
42,2016-06-10,97.99,101.89,97.55,98.83,1042432,99.132,534307
43,2016-06-17,98.6,99.12,95.3,95.33,1526856,97.028,778231
44,2016-06-24,96.02,96.89,92.65,93.4,1604711,95.23,856947
45,2016-07-01,93.07,96.47,91.5,95.89,1512411,93.798,825849
46,2016-07-08,95.39,96.89,94.37,96.68,929652,95.6505,495452
47,2016-07-15,96.75,99.3,96.74,98.78,1198923,97.927,626975
48,2016-07-22,98.7,101.0,98.31,98.66,1243306,99.653,622986
49,2016-07-29,98.25,104.55,96.42,104.21,1997640,101.466,982585
50,2016-08-05,104.42,107.65,104.0,107.48,1371360,105.7465,692698
51,2016-08-12,107.55,108.94,107.16,108.18,1005586,108.213,505252
52,2016-08-19,108.14,110.23,108.08,109.36,1079019,109.2815,563522
53,2016-08-26,108.86,109.32,106.31,106.94,1030712,107.935,575932
54,2016-09-02,106.63,108.0,105.5,107.73,1042723,106.5795,564470
55,2016-09-09,107.83,108.76,103.14,103.13,1407740,106.195,708518
56,2016-09-16,102.65,116.13,102.53,114.92,3321010,111.6585,1517892
57,2016-09-23,115.25,116.18,111.55,112.71,1741688,113.719,822399
58,2016-09-30,111.64,114.64,111.55,113.05,1299897,112.9945,658435
59,2016-10-07,112.71,114.56,112.28,114.06,1082296,113.4825,554961
60,2016-10-14,115.06,118.69,114.72,117.63,1795537,117.0285,845837
61,2016-10-21,117.34,118.21,113.8,116.6,965240,117.191,498674
62,2016-10-28,117.1,118.36,113.31,113.72,1624449,115.5645,802154
63,2016-11-04,113.65,114.23,108.11,108.84,1271865,111.3545,676959
64,2016-11-11,110.1,111.72,105.83,108.43,1760706,109.1605,946462
65,2016-11-18,107.71,110.54,104.08,110.06,1517818,107.889,781915
66,2016-11-25,110.12,112.42,110.01,111.79,720730,111.368,370806
67,2016-12-02,111.43,112.47,108.85,109.9,1188291,110.62,622655
68,2016-12-09,110.0,114.7,108.25,113.95,1240770,111.07,659492
69,2016-12-16,113.3,116.73,112.49,115.97,1377920,115.301,728267
70,2016-12-23,115.8,117.5,115.59,116.52,827304,116.639,412751
71,2016-12-30,116.57,118.02,115.43,115.82,679598,116.7325,349283
72,2017-01-06,115.82,118.16,114.76,117.91,865692,116.542,437383
73,2017-01-13,117.94,119.93,117.94,119.04,1133712,119.005,567202
74,2017-01-20,118.32,120.5,118.22,120.0,865602,119.887,419020
75,2017-01-27,119.93,122.44,119.5,121.95,999814,121.1025,494940
76,2017-02-03,120.93,130.49,120.62,129.08,2020509,126.2995,897400
77,2017-02-10,129.13,132.94,128.92,132.12,1076093,131.449,500012
78,2017-02-17,133.05,136.27,132.75,135.72,1081421,134.8095,503843
79,2017-02-24,136.24,137.48,135.28,136.66,670071,136.4155,330466
80,2017-03-03,137.01,140.28,136.28,139.78,990844,138.615,499727
81,2017-03-10,139.37,139.98,137.05,139.14,762282,139.024,399414
82,2017-03-17,138.85,141.02,138.82,139.99,850397,140.054,400374
83,2017-03-24,140.4,142.8,139.73,140.64,1061730,141.065,539284
84,2017-03-31,139.39,144.5,138.62,143.66,1005992,142.9355,500028
85,2017-04-07,143.71,145.46,143.05,143.34,867768,144.1635,458864
86,2017-04-13,143.6,143.88,140.06,141.05,726746,141.9325,398933
87,2017-04-21,141.18,142.92,140.45,142.27,721787,141.7975,399955
88,2017-04-28,143.5,144.9,143.18,143.65,698211,143.9635,380086
89,2017-05-05,145.1,148.98,144.27,148.96,1375145,146.845,664672
90,2017-05-12,149.03,156.42,149.03,156.1,1409145,153.548,653092
91,2017-05-19,156.01,156.65,149.71,153.06,1281090,153.1715,627022
92,2017-05-26,154.0,154.9,152.67,153.61,805994,153.678,398273
93,2017-06-02,153.42,155.45,152.22,155.45,669416,153.7045,361619
94,2017-06-09,154.37,155.98,146.02,148.98,1296869,152.811,659770
95,2017-06-16,145.6,147.5,142.2,142.27,1732664,144.436,880496
96,2017-06-23,143.99,147.16,143.66,146.28,911518,145.7565,503509
97,2017-06-30,147.16,148.28,142.28,144.02,1027145,144.849,564425
98,2017-07-07,144.95,145.31,142.41,144.18,610146,143.6485,340062
99,2017-07-14,144.11,149.33,143.37,149.04,884663,146.3485,469356
100,2017-07-21,148.82,151.74,148.57,150.27,804981,150.144,413317
101,2017-07-28,150.58,153.99,147.3,149.5,840408,151.6335,448999
102,2017-08-04,149.9,159.75,148.13,156.39,1321463,154.9685,638498
103,2017-08-11,157.01,161.83,154.63,157.48,1256960,158.8245,627549
104,2017-08-18,159.33,162.51,156.72,157.5,1110328,159.9595,560923
105,2017-08-25,157.5,160.74,155.11,159.86,857058,158.924,456383
106,2017-09-01,160.14,164.94,159.93,164.05,1008848,162.8775,484312
