,date,open,high,low,close,volume,average,barCount
0,2015-08-21,132.14,134.27,122.5,122.51,35832,129.1715,27469
1,2015-08-28,117.38,125.66,112.43,122.97,47108,120.6155,37637
2,2015-09-04,121.73,123.28,117.96,118.84,30994,120.1375,25400
3,2015-09-11,120.66,123.22,117.03,118.17,24257,119.337,19789
4,2015-09-18,118.07,120.21,114.81,115.18,27622,117.628,22414
5,2015-09-25,115.61,117.37,111.43,114.77,39188,114.3895,30800
6,2015-10-02,113.86,120.01,113.24,119.83,38189,116.0595,29120
7,2015-10-09,120.65,123.25,114.89,119.27,41924,118.489,33162
8,2015-10-16,119.67,121.5,116.13,118.31,34819,118.4325,27898
9,2015-10-23,118.41,122.0,116.7,119.5,36749,119.355,27979
10,2015-10-30,119.5,121.75,108.0,110.2,92523,113.685,68671
11,2015-11-06,109.0,113.8,108.22,109.67,63210,110.501,45977
12,2015-11-13,109.26,109.87,100.32,101.97,56469,105.564,45683
13,2015-11-20,101.54,105.57,100.65,103.59,43493,104.2405,35908
14,2015-11-27,103.59,104.37,102.17,103.0,19741,102.9925,15917
15,2015-12-04,103.11,105.65,99.81,104.61,76487,103.4535,55520
16,2015-12-11,104.14,104.89,96.5,97.56,47174,100.7635,38327
17,2015-12-18,97.35,100.92,94.51,97.63,56260,98.796,41984
18,2015-12-24,98.17,98.72,96.31,97.44,19016,97.3755,14209
19,2015-12-31,97.35,99.21,96.49,96.96,23154,97.4425,17612
20,2016-01-08,95.6,97.7,90.81,92.13,53932,94.561,40521
21,2016-01-15,91.79,96.21,91.0,93.52,77683,93.2705,61546
22,2016-01-22,94.51,94.98,88.74,93.77,92395,91.1995,72182
23,2016-01-29,93.61,96.94,92.49,93.78,65856,94.6335,54088
24,2016-02-05,93.12,94.29,89.66,90.22,38086,91.623,30130
25,2016-02-12,89.79,89.79,86.02,87.83,38906,87.699,30723
26,2016-02-19,89.0,92.84,88.12,92.67,29476,91.0835,23611
27,2016-02-26,93.22,97.72,91.35,97.12,31697,94.5975,24752
28,2016-03-04,96.98,100.78,96.02,99.79,30315,98.8795,23027
29,2016-03-11,99.31,101.27,97.35,100.66,20495,99.808,16447
30,2016-03-18,99.97,102.42,97.65,102.31,19175,100.057,15243
31,2016-03-24,102.13,106.86,101.0,103.14,26813,103.792,19962
