,date,open,high,low,close,volume,average,barCount
0,2015-08-21,147.43,149.31,141.92,142.09,114697,145.131,80126
1,2015-08-28,137.12,144.95,134.0,144.21,185675,140.676,133934
2,2015-09-04,143.0,143.83,137.94,139.84,117458,140.591,84646
3,2015-09-11,142.05,145.35,139.77,141.26,72813,141.797,55270
4,2015-09-18,141.52,145.55,139.21,139.62,119767,142.067,79713
5,2015-09-25,140.5,141.08,135.39,139.56,113422,138.3635,88043
6,2015-10-02,138.3,143.26,138.3,143.2,139768,140.6805,109576
7,2015-10-09,144.3,150.65,143.63,149.9,88780,147.3015,68032
8,2015-10-16,150.26,150.56,147.48,148.7,83531,149.0085,63304
9,2015-10-23,147.97,157.19,147.13,155.79,124728,152.1905,89174
10,2015-10-30,156.06,158.68,155.08,157.21,83532,157.1495,59563
11,2015-11-06,157.51,160.09,157.34,159.26,86358,159.0515,58647
12,2015-11-13,158.67,159.49,155.6,155.65,85191,157.319,58123
13,2015-11-20,155.61,159.84,155.61,158.95,77274,157.6705,56538
14,2015-11-27,158.9,159.77,156.89,157.99,40531,158.073,28530
15,2015-12-04,158.1,158.47,153.71,158.22,81841,156.4565,62599
16,2015-12-11,157.53,158.69,154.42,154.83,86951,156.615,68951
17,2015-12-18,155.29,157.77,146.76,146.92,191185,149.9665,128610
18,2015-12-24,147.58,151.8,146.69,151.19,53194,149.189,41843
19,2015-12-31,151.13,153.7,150.27,150.64,45652,152.0535,37319
20,2016-01-08,148.05,148.32,140.22,140.49,115143,144.1855,89217
21,2016-01-15,140.97,142.44,137.21,138.69,120374,140.028,92977
22,2016-01-22,140.1,140.8,134.64,139.52,108271,137.914,84839
23,2016-01-29,138.96,151.0,137.53,151.0,142663,145.187,106276
24,2016-02-05,149.33,154.38,146.05,153.47,139090,150.7455,103390
25,2016-02-12,151.63,155.76,149.0,153.96,102016,152.8315,74769
26,2016-02-19,155.0,157.13,154.26,156.45,59564,156.237,40778
27,2016-02-26,157.5,159.5,153.64,158.27,71621,157.2225,49196
28,2016-03-04,158.01,160.29,156.82,160.07,70069,159.1225,46709
29,2016-03-11,159.98,162.05,158.17,161.88,71381,160.171,48380
30,2016-03-18,161.61,165.19,159.35,165.33,96815,163.413,60619
31,2016-03-24,165.05,165.5,163.04,164.46,58491,164.59,40574
32,2016-04-01,164.93,167.74,163.12,167.53,79328,165.9615,55204
33,2016-04-08,167.11,167.99,164.65,166.63,77707,166.5315,52597
34,2016-04-15,167.12,169.0,166.57,168.78,54286,168.1125,37779
