,date,open,high,low,close,volume,average,barCount
0,2015-08-21,46.82,47.45,43.07,43.07,1523843,45.707,683104
1,2015-08-28,40.45,44.15,39.72,43.93,2605696,42.382,1302429
2,2015-09-04,43.56,43.98,41.66,42.61,1557313,42.778,818384
3,2015-09-11,43.3,44.4,42.74,43.48,948598,43.489,488298
4,2015-09-18,43.43,45.0,42.86,43.48,1275653,43.8195,595532
5,2015-09-25,43.62,44.73,43.27,43.94,1070374,43.9445,588064
6,2015-10-02,43.83,45.57,43.05,45.57,1349318,44.0845,703047
7,2015-10-09,45.79,47.54,45.7,47.11,1268692,46.808,650630
8,2015-10-16,46.98,47.54,46.5,47.51,958631,46.9175,455637
9,2015-10-23,47.42,54.07,47.02,52.87,2338934,50.494,994636
10,2015-10-30,52.75,54.37,52.5,52.64,2061686,53.552,883524
11,2015-11-06,52.85,54.98,52.62,54.92,1407920,54.0595,679159
12,2015-11-13,54.55,54.87,52.53,52.84,1662462,53.558,718118
13,2015-11-20,53.05,54.66,52.85,54.19,1303165,53.6725,634143
14,2015-11-27,54.25,54.46,53.58,53.93,700139,54.0535,338936
15,2015-12-04,54.54,56.23,53.93,55.91,1836979,54.9685,911443
16,2015-12-11,55.79,56.1,54.01,54.06,1442760,55.214,806384
17,2015-12-18,54.33,56.79,53.68,54.13,1938536,55.295,995572
18,2015-12-24,54.88,55.96,54.22,55.67,854121,55.128,429612
19,2015-12-31,55.33,56.85,54.98,55.48,788622,56.078,380134
20,2016-01-08,54.37,55.39,52.07,52.33,1967083,53.579,1008137
21,2016-01-15,52.51,54.07,50.34,50.99,2214087,52.1945,1199670
22,2016-01-22,51.48,52.33,49.1,52.29,1583376,50.8415,901108
23,2016-01-29,51.94,55.06,51.02,55.09,1983343,52.8345,1021411
24,2016-02-05,54.87,55.09,49.56,50.16,2294095,52.433,1192690
25,2016-02-12,49.55,50.68,48.19,50.5,1969159,49.46,1134523
26,2016-02-19,50.9,52.95,50.13,51.82,1054175,51.8465,550653
27,2016-02-26,52.28,53.0,50.2,51.3,1261667,51.5365,652778
28,2016-03-04,51.35,52.97,50.66,52.03,1186374,51.942,612647
29,2016-03-11,51.69,53.07,50.58,53.07,1449899,51.94,744891
30,2016-03-18,52.71,55.0,52.63,53.49,1303911,53.97,631684
31,2016-03-24,53.25,54.33,52.93,54.21,682862,53.8665,355072
32,2016-04-01,54.21,55.64,53.33,55.57,903134,54.8105,462756
33,2016-04-08,55.43,55.66,54.21,54.42,820315,54.808,453301
34,2016-04-15,54.49,55.92,53.76,55.65,951378,55.046,487554
35,2016-04-22,55.49,56.77,50.77,51.78,2133327,53.8075,982840
36,2016-04-29,51.78,52.35,49.35,49.87,1744324,50.755,851284
37,2016-05-06,50.0,50.75,49.46,50.39,1148182,50.017,577496
38,2016-05-13,50.49,51.9,50.0,51.08,920313,51.08,491498
39,2016-05-20,50.8,51.96,49.82,50.62,935813,50.7355,503146
40,2016-05-27,50.6,52.49,49.98,52.32,1038170,51.4515,533939
41,2016-06-03,52.26,53.0,51.6,51.79,805015,52.337,431192
42,2016-06-10,51.99,52.73,51.04,51.48,847628,51.9675,463869
43,2016-06-17,49.58,50.72,49.06,50.13,2006055,49.9575,872308
44,2016-06-24,50.64,52.06,49.52,49.83,1665225,50.6955,816138
45,2016-07-01,49.1,51.72,48.03,51.16,1391424,49.7405,722263
46,2016-07-08,50.83,52.36,50.39,52.3,853435,51.408,457397
47,2016-07-15,52.5,54.0,52.47,53.7,1074947,53.3835,540500
48,2016-07-22,53.7,56.84,52.93,56.57,1983946,55.364,861485
49,2016-07-29,56.41,57.29,55.72,56.68,1275919,56.433,572638
50,2016-08-05,56.69,58.21,56.14,57.96,1164793,56.989,549254
51,2016-08-12,58.05,58.5,57.62,57.94,767692,58.031,355625
52,2016-08-19,58.03,58.5,57.2,57.62,720796,57.654,349445
53,2016-08-26,57.57,58.7,57.26,58.03,736073,57.9585,374277
54,2016-09-02,58.18,58.6,57.01,57.67,782559,57.739,421440
55,2016-09-09,57.58,57.84,56.21,56.21,686467,57.246,366889
56,2016-09-16,55.85,57.63,55.61,57.25,1208365,56.718,609239
57,2016-09-23,57.27,58.0,56.75,57.43,920612,57.4265,484150
58,2016-09-30,57.08,58.17,56.68,57.6,977993,57.5655,533720
59,2016-10-07,57.41,57.98,56.97,57.8,777147,57.5325,430093
60,2016-10-14,57.92,58.39,56.31,57.42,1011022,57.291,544685
61,2016-10-21,57.36,60.45,56.66,59.66,1574376,58.434,754406
62,2016-10-28,59.94,61.37,59.58,59.87,1476045,60.608,761534
63,2016-11-04,60.16,60.42,58.52,58.71,980112,59.549,520261
64,2016-11-11,59.8,60.78,57.63,59.02,1682773,59.492,954829
65,2016-11-18,59.1,61.14,54.27,60.35,1336205,59.3875,693385
66,2016-11-25,60.54,61.26,60.13,60.53,533435,60.7095,292147
67,2016-12-02,60.34,61.41,58.8,59.25,1023165,60.0715,528937
68,2016-12-09,59.7,61.99,59.56,61.97,959804,60.8055,537021
69,2016-12-16,61.87,63.45,61.72,62.3,1227751,62.7095,645849
70,2016-12-23,62.55,64.1,62.42,63.24,845121,63.4355,443421
71,2016-12-30,63.21,64.07,62.03,62.14,467542,62.8415,261119
72,2017-01-06,62.76,63.15,62.03,62.84,653750,62.475,353122
73,2017-01-13,62.79,63.4,61.95,62.7,774394,62.6725,413911
74,2017-01-20,62.67,62.98,62.03,62.74,659501,62.476,331386
75,2017-01-27,62.7,65.91,62.57,65.78,1282312,64.187,631532
76,2017-02-03,65.69,65.79,62.75,63.68,1458990,63.8875,718104
77,2017-02-10,63.5,64.44,63.14,64.0,778113,63.707,403762
78,2017-02-17,64.24,65.24,64.02,64.62,775629,64.52,375362
79,2017-02-24,64.64,64.95,64.05,64.62,641565,64.4385,320512
80,2017-03-03,64.54,64.99,63.62,64.25,873249,64.2095,430996
81,2017-03-10,64.0,65.26,63.81,64.93,755264,64.687,395486
82,2017-03-17,65.01,65.24,64.15,64.87,892889,64.726,356131
83,2017-03-24,64.91,65.5,64.12,64.98,813150,64.9015,456605
84,2017-03-31,64.63,66.19,64.35,65.86,684229,65.3795,360012
85,2017-04-07,65.81,66.35,65.19,65.68,696429,65.7565,390451
86,2017-04-13,65.61,65.86,64.85,64.95,560976,65.3635,318516
87,2017-04-21,65.04,66.7,64.89,66.4,885810,65.643,449281
88,2017-04-28,67.47,69.14,67.1,68.46,1267373,67.9235,603116
89,2017-05-05,68.67,69.71,68.48,69.0,1050823,69.031,489725
90,2017-05-12,68.97,69.56,68.04,68.38,825833,68.6915,412657
91,2017-05-19,68.16,69.44,67.14,67.69,1167926,68.187,590449
92,2017-05-26,67.89,70.22,67.5,69.96,691314,69.077,346290
93,2017-06-02,69.79,71.86,69.45,71.76,803710,70.4945,383644
94,2017-06-09,71.97,72.89,68.59,70.32,1304066,71.643,653049
95,2017-06-16,69.25,71.1,68.13,70.0,1362526,69.7905,712711
96,2017-06-23,70.5,71.25,69.71,71.21,865965,70.4175,454268
97,2017-06-30,71.4,71.71,68.09,68.93,1011688,69.4555,583772
98,2017-07-07,69.33,69.84,68.02,69.46,595769,68.809,333218
99,2017-07-14,69.46,73.27,69.2,72.78,794735,71.3035,422842
100,2017-07-21,72.8,74.3,72.66,73.79,1254387,73.5325,593996
101,2017-07-28,73.53,74.42,72.32,73.04,880720,73.546,468713
102,2017-08-04,73.3,73.44,71.44,72.68,901707,72.471,461373
103,2017-08-11,72.8,73.13,71.28,72.5,852742,72.277,472209
104,2017-08-18,73.06,74.1,71.93,72.49,746220,73.1435,411247
105,2017-08-25,72.47,73.35,71.7,72.82,556320,72.6295,311878
106,2017-09-01,73.06,74.96,72.05,73.94,649748,73.82,343473
107,2017-09-08,73.34,74.6,72.98,73.98,551784,73.854,298360
108,2017-09-15,74.31,75.49,74.07,75.31,730192,74.8715,337358
109,2017-09-22,75.26,75.97,73.85,74.41,643957,74.939,359392
110,2017-09-29,74.09,74.54,72.92,74.49,635742,73.6325,362305
111,2017-10-06,74.71,76.12,73.71,76.0,581538,75.0175,307670
112,2017-10-13,75.97,77.87,75.86,77.49,532118,76.716,295834
113,2017-10-20,77.42,78.97,77.25,78.81,584045,77.856,298441
114,2017-10-27,78.99,86.2,78.01,83.81,1250725,81.562,650348
115,2017-11-03,83.71,84.54,82.88,84.14,982390,83.68,528236
116,2017-11-10,84.2,84.9,82.9,83.87,692688,84.0,389354
117,2017-11-17,83.66,84.1,82.24,82.4,721608,83.176,385846
118,2017-11-24,82.4,83.9,82.25,83.26,433426,83.1655,214930
119,2017-12-01,83.31,85.06,83.17,84.26,940401,84.0625,557659
120,2017-12-08,84.36,84.58,80.7,84.16,1033998,82.5405,585284
121,2017-12-15,84.29,87.09,84.12,86.85,965572,85.5555,504936
122,2017-12-22,87.12,87.5,84.71,85.51,700073,85.806,376972
123,2017-12-29,85.31,86.05,85.03,85.54,359322,85.606,195687
124,2018-01-05,86.23,88.41,85.5,88.19,671468,86.876,338424
125,2018-01-12,88.16,89.78,87.24,89.6,747217,88.322,413430
126,2018-01-19,90.1,90.79,88.01,90.0,871691,89.8625,454844
127,2018-01-26,89.92,94.06,89.74,94.06,933519,92.278,533463
128,2018-02-02,95.13,96.07,91.64,91.78,1572201,93.7975,851122
129,2018-02-09,90.56,93.24,83.83,88.18,2265937,88.5785,1429393
130,2018-02-16,88.74,93.5,87.8,92.0,1243156,90.454,746719
131,2018-02-23,91.4,94.07,91.01,94.06,783457,92.6525,490185
132,2018-03-02,94.38,95.84,90.86,93.05,1194667,93.8195,720869
133,2018-03-09,92.44,96.54,92.26,96.54,1068658,94.3155,619342
134,2018-03-16,96.57,97.24,92.83,94.6,1229256,94.895,645606
135,2018-03-23,93.74,94.05,87.08,87.18,1252120,91.449,780783
136,2018-03-29,90.61,95.14,88.4,91.27,1672180,91.3025,988218
137,2018-04-06,90.47,93.07,87.51,90.23,1458770,90.0885,902286
138,2018-04-13,91.03,94.18,90.62,93.08,1012893,92.6655,636420
139,2018-04-20,94.08,97.07,93.42,95.0,953201,95.5175,548403
140,2018-04-27,95.74,97.9,90.28,95.82,1358342,94.31,765953
141,2018-05-04,96.27,96.4,92.45,95.16,1169596,94.1925,718040
142,2018-05-11,95.3,97.95,95.05,97.7,816357,96.4815,487805
143,2018-05-18,97.79,98.69,95.83,96.36,700117,97.0655,401585
144,2018-05-25,96.95,98.98,96.32,98.36,688394,97.8785,407888
145,2018-06-01,97.84,100.86,97.23,100.79,791367,99.049,477259
146,2018-06-08,101.26,102.69,100.38,101.63,904440,101.629,509032
147,2018-06-15,101.37,102.03,100.07,100.13,983297,101.19,531283
148,2018-06-22,100.05,102.52,99.42,100.41,941308,100.8665,543602
149,2018-06-29,100.0,100.11,97.26,98.61,1089163,98.7975,670884
150,2018-07-06,98.1,101.43,98.0,101.16,547680,99.8075,324893
151,2018-07-13,101.6,105.6,101.1,105.43,811271,103.131,463909
