,date,open,high,low,close,volume,average,barCount
0,2015-08-31,132.14,134.27,112.43,121.41,86825,124.2125,68463
1,2015-09-30,118.76,123.22,111.43,115.8,139739,117.0105,112308
2,2015-10-30,115.97,123.25,108.0,110.2,222645,116.5685,169568
3,2015-11-30,109.0,113.8,100.32,103.0,196608,106.4315,153497
4,2015-12-31,103.07,105.65,94.51,96.96,208399,100.3855,157640
5,2016-01-29,95.6,97.7,88.74,93.78,289868,93.16,228337
6,2016-02-29,93.12,97.72,86.02,96.17,142908,91.2725,113152
7,2016-03-31,96.73,106.86,96.29,105.85,111852,101.547,85684
8,2016-04-29,104.94,107.08,93.64,104.75,178315,100.5415,137691
9,2016-05-31,103.12,110.28,99.29,110.2,137034,105.192,108882
10,2016-06-30,110.02,124.91,107.19,113.84,156500,117.7975,116856
11,2016-07-29,113.91,125.87,110.86,123.42,124044,119.585,92262
12,2016-08-31,123.56,127.13,121.33,122.73,96596,124.386,78550
13,2016-09-30,122.42,125.0,115.63,124.64,88106,120.376,68594
14,2016-10-31,124.16,138.55,114.45,138.21,157991,125.6505,113256
15,2016-11-30,137.47,144.29,134.01,140.75,122884,139.8715,95952
16,2016-12-30,141.12,148.34,136.97,144.72,74667,143.03,58602
17,2017-01-31,145.65,146.98,132.51,134.03,112784,139.8955,86665
18,2017-02-28,134.07,145.55,130.61,143.27,94248,139.3015,74517
19,2017-03-31,144.01,149.5,140.4,142.57,95907,144.607,75132
20,2017-04-28,142.73,142.92,125.3,129.13,153026,134.533,111583
21,2017-05-31,128.91,131.93,124.27,128.13,140832,128.382,110851
22,2017-06-30,128.85,132.2,125.96,127.06,96803,129.1475,76045
23,2017-07-31,127.75,130.0,115.63,120.75,138803,123.9675,107357
24,2017-08-31,121.08,121.43,115.67,119.38,96860,118.49,78921
25,2017-09-29,119.91,123.14,114.76,120.56,101758,117.913,69507
26,2017-10-31,120.81,127.48,114.63,121.27,147332,119.4525,112111
27,2017-11-30,120.94,134.5,119.4,134.2,108078,123.666,86233
28,2017-12-29,134.19,136.35,129.7,131.22,79980,132.414,64502
29,2018-01-31,131.64,144.61,131.31,144.54,126529,139.003,92962
30,2018-02-28,144.57,153.08,133.14,148.52,107560,143.456,85127
31,2018-03-29,148.81,153.91,142.07,144.61,88932,147.7475,71483
32,2018-04-30,143.93,163.48,138.67,163.09,113428,153.3325,91278
33,2018-05-31,160.7,176.33,160.21,173.11,100614,170.1625,81719
34,2018-06-29,174.57,183.27,168.02,172.45,80788,176.6525,63641
35,2018-07-31,171.3,180.11,169.0,171.38,85132,174.6,68067
36,2018-08-31,171.86,191.16,168.77,189.12,75301,180.434,57991
37,2018-09-28,188.76,199.71,187.01,199.42,50434,193.4335,40537
38,2018-10-31,193.68,195.41,161.25,175.28,133646,173.545,107389
39,2018-11-30,175.13,190.08,164.97,171.97,73416,177.553,61272
40,2018-12-31,175.35,176.7,149.87,162.03,68490,164.281,53695
41,2019-01-31,158.19,167.32,151.0,160.95,107533,159.5745,86722
42,2019-02-28,160.79,173.44,157.88,168.14,53109,166.6195,44074
43,2019-03-29,167.6,168.33,148.9,156.93,90659,155.0255,70460
44,2019-04-30,163.8,168.94,156.0,156.9,76548,164.25,62980
45,2019-05-31,157.0,157.0,131.53,132.08,85614,143.7265,65055
46,2019-06-28,132.13,146.09,132.13,145.63,78785,140.3825,59917
47,2019-07-31,147.88,153.99,138.78,146.72,99108,146.727,76426
48,2019-08-30,146.71,149.72,121.36,128.73,83073,131.628,64264
49,2019-09-30,127.7,142.99,126.51,140.42,56330,136.6325,43693
50,2019-10-31,140.7,153.0,128.51,144.08,86674,139.0455,67282
51,2019-11-29,143.55,149.75,141.62,145.71,47490,145.684,38867
52,2019-12-31,145.7,146.71,132.5,139.65,74431,139.572,54883
53,2020-01-31,140.42,141.31,121.88,122.12,91796,132.2935,66828
54,2020-02-28,121.19,133.43,117.82,119.95,67505,126.169,50769
55,2020-03-31,119.89,122.56,79.78,106.63,138553,106.063,106816
56,2020-04-30,103.78,153.56,101.53,139.26,135115,129.043,101470
57,2020-05-29,134.43,149.38,132.06,144.92,87429,140.24,68939
58,2020-06-30,144.74,147.83,132.1,139.48,81133,140.656,65489
59,2020-07-31,139.76,156.36,132.93,135.9,139831,142.4495,99496
60,2020-08-14,135.3,141.86,135.07,136.05,42617,138.7755,31494
