,date,open,high,low,close,volume,average,barCount
0,2015-08-31,17.6,17.9,14.6,16.34,11997089,16.279,1816102
1,2015-09-30,15.95,16.48,15.25,15.58,15520272,15.791,2263762
2,2015-10-30,15.52,17.44,14.63,16.78,16541947,16.013,2329725
3,2015-11-30,16.9,18.09,16.87,17.43,12956461,17.523,1928551
4,2015-12-31,17.52,17.89,16.49,16.83,15123096,17.2815,2425667
5,2016-01-29,16.45,16.59,12.94,14.14,23537486,14.3435,3574193
6,2016-02-29,14.05,14.09,10.99,12.52,32371027,12.3545,4668304
7,2016-03-31,12.64,14.03,12.62,13.52,22279356,13.4635,2943920
8,2016-04-29,13.47,15.3,12.75,14.56,18378655,14.102,2602508
9,2016-05-31,14.58,15.15,13.8,14.79,16064758,14.422,2298098
10,2016-06-30,14.6,14.98,12.05,13.27,20647493,13.502,2975561
11,2016-07-29,13.19,14.7,12.45,14.49,15373474,13.7465,2209912
12,2016-08-31,14.52,16.24,14.09,16.14,16409412,15.236,2253739
13,2016-09-30,16.15,16.15,14.81,15.65,16493639,15.65,2367844
14,2016-10-31,15.59,17.1,15.5,16.5,15522580,16.3115,2287734
15,2016-11-30,16.56,21.19,16.28,21.12,28321551,19.1295,4066274
16,2016-12-30,21.43,23.39,21.02,22.1,22091249,22.4345,3426317
17,2017-01-31,22.6,23.55,22.01,22.64,17391570,22.7915,2742502
18,2017-02-28,22.97,24.95,22.45,24.68,16629676,23.7625,2634542
19,2017-03-31,25.37,25.8,22.16,23.59,21397312,24.3125,3555192
20,2017-04-28,23.66,24.35,22.26,23.34,16657701,23.2175,2747524
21,2017-05-31,23.52,24.31,22.09,22.41,14779749,23.3415,2540051
22,2017-06-30,22.48,24.67,22.07,24.26,15495837,23.3725,2772758
23,2017-07-31,24.46,25.11,23.61,24.12,12313453,24.3335,2147470
24,2017-08-31,24.29,25.35,23.12,23.89,12002638,24.182,2201089
25,2017-09-29,23.9,25.64,22.75,25.34,12898452,24.284,2468701
26,2017-10-31,25.46,27.98,25.12,27.39,12229870,26.556,2309432
27,2017-11-30,27.64,28.72,25.81,28.17,11616058,27.134,2392017
28,2017-12-29,28.25,30.03,27.5,29.52,12407791,29.137,2635559
29,2018-01-31,29.75,32.45,29.61,32.0,12023946,31.1365,2514418
30,2018-02-28,32.0,32.85,29.13,32.1,14880963,31.4015,3712098
31,2018-03-29,32.07,33.05,29.01,29.99,12736441,31.3475,3199964
32,2018-04-30,29.8,31.17,28.75,29.92,12696373,30.0075,3026072
33,2018-05-31,29.92,31.36,28.43,29.04,12196386,30.0235,2685590
34,2018-06-29,29.51,30.41,28.01,28.19,11517720,29.2845,2598490
35,2018-07-31,28.08,31.45,27.63,30.88,11606398,29.6865,2849411
36,2018-08-31,31.22,31.91,30.15,30.93,9176459,31.091,2259062
37,2018-09-28,30.91,31.37,29.42,29.46,8499349,30.6635,1881359
38,2018-10-31,29.68,30.79,25.88,27.5,16006683,28.2185,3966497
39,2018-11-30,27.77,29.12,26.78,28.4,9541002,27.8805,2533275
40,2018-12-31,28.99,29.04,22.66,24.64,15477754,24.813,3960958
41,2019-01-31,24.08,29.72,24.01,28.47,14262628,27.5135,3270260
42,2019-02-28,28.6,29.67,27.86,29.08,8113785,28.869,1893593
43,2019-03-29,29.33,30.14,26.61,27.59,10596175,28.3985,2300840
44,2019-04-30,27.9,31.17,27.85,30.58,10760893,29.5955,2416943
45,2019-05-31,30.56,30.89,26.48,26.6,9163287,28.786,2316284
46,2019-06-28,26.59,29.27,26.4,29.0,7890878,28.082,1971881
47,2019-07-31,29.48,31.06,28.86,30.68,8140229,29.7545,1893500
48,2019-08-30,30.55,31.07,26.21,27.51,11716808,27.5235,2738415
49,2019-09-30,27.21,30.32,26.61,29.17,9635138,29.12,2372864
50,2019-10-31,29.44,32.23,27.16,31.27,10622735,29.927,2529886
51,2019-11-29,31.69,33.6,31.37,33.32,7046276,32.9235,1597631
52,2019-12-31,33.45,35.72,32.55,35.22,7146627,34.302,1724258
53,2020-01-31,35.35,35.67,32.47,32.83,7963472,34.3115,1913820
54,2020-02-28,33.0,35.45,27.7,28.5,8919855,32.2365,2421278
55,2020-03-31,28.35,29.75,17.95,21.23,24227495,22.58,7219236
56,2020-04-30,19.93,25.32,19.51,24.05,13884694,22.565,3969688
57,2020-05-29,23.38,26.17,20.1,24.12,11985689,23.064,3131515
58,2020-06-30,24.28,29.01,23.02,23.75,14473424,25.4535,4018946
59,2020-07-31,24.03,25.29,22.39,24.88,11855415,23.907,3092072
60,2020-08-14,25.03,27.75,24.69,26.47,4998187,26.1575,1182249
