,date,open,high,low,close,volume,average,barCount
0,2015-08-31,107.3,109.28,90.0,101.88,1675613,100.7365,893414
1,2015-09-30,99.31,105.95,97.77,102.2,1570476,101.8785,914577
2,2015-10-30,102.97,115.4,99.88,113.74,1317874,108.3875,783331
3,2015-11-30,114.49,120.65,110.81,113.47,1589806,115.722,862460
4,2015-12-31,114.15,115.47,104.3,105.08,1872601,109.8585,1047879
5,2016-01-29,103.12,103.43,90.42,95.82,1842401,97.401,1054344
6,2016-02-29,95.08,97.0,86.25,95.52,1711974,92.5925,1041421
7,2016-03-31,95.9,100.37,95.53,99.31,1129606,98.169,665688
8,2016-04-29,98.81,105.6,95.8,103.26,1220400,100.4185,707524
9,2016-05-31,103.3,106.75,97.51,99.22,1425298,101.7425,819197
10,2016-06-30,98.67,100.96,94.0,97.82,1247092,97.7985,709330
11,2016-07-29,97.75,100.8,95.82,95.95,1053065,98.3735,581316
12,2016-08-31,96.15,99.27,94.16,94.46,1550637,96.3165,830702
13,2016-09-30,94.73,94.96,91.19,92.86,1327653,92.8135,714595
14,2016-10-31,92.47,94.4,90.31,92.69,1096275,92.4725,621730
15,2016-11-30,92.76,100.29,91.66,99.12,1521927,96.8405,879278
16,2016-12-30,99.13,106.26,98.25,104.22,1402613,103.1745,810661
17,2017-01-31,105.3,111.05,105.2,110.65,1175807,108.2275,654478
18,2017-02-28,110.71,111.99,108.58,110.09,1003083,110.082,559940
19,2017-03-31,110.66,113.71,110.04,113.39,937743,111.8185,541699
20,2017-04-28,113.18,116.1,112.04,115.6,747127,113.9455,425317
21,2017-05-31,115.59,115.61,105.23,107.94,1344184,109.3145,747284
22,2017-06-30,107.73,108.64,103.17,106.25,1242502,105.714,706554
23,2017-07-31,106.76,110.19,102.72,109.93,876019,106.2885,490204
24,2017-08-31,109.99,110.83,100.5,101.2,1524904,103.4195,834959
25,2017-09-29,101.65,102.55,96.2,98.57,1396891,98.675,737134
26,2017-10-31,99.31,100.98,96.8,97.81,984890,98.6665,542596
27,2017-11-30,98.13,106.26,97.9,104.82,1288682,102.677,696454
28,2017-12-29,104.58,112.67,103.87,107.51,1547503,108.7585,846091
29,2018-01-31,108.95,113.19,108.47,108.67,1221402,110.9485,667176
30,2018-02-28,108.62,110.65,100.26,103.16,1367974,105.5525,837373
31,2018-03-29,103.2,105.94,98.15,100.44,1091012,102.277,667037
32,2018-04-30,100.18,102.71,97.7,100.33,1157850,100.4275,685286
33,2018-05-31,100.51,105.49,97.68,99.47,1427569,101.4755,798955
34,2018-06-29,99.69,109.49,99.2,104.81,1466514,105.2545,794932
35,2018-07-31,104.15,114.68,103.5,113.56,1109500,110.2425,647385
36,2018-08-31,113.68,117.9,111.44,112.02,935574,113.665,557392
37,2018-09-28,111.8,117.46,108.23,116.94,896547,111.843,534393
38,2018-10-31,117.28,119.69,110.32,114.83,1273872,115.372,803322
39,2018-11-30,115.2,120.2,111.52,115.49,1209229,115.7845,748969
40,2018-12-31,116.65,116.92,100.38,109.65,1170532,109.675,723948
41,2019-01-31,108.1,113.18,105.94,111.52,1075684,110.611,656570
42,2019-02-28,111.97,115.8,109.15,112.84,1179196,112.167,679153
43,2019-03-29,113.45,115.48,107.32,111.03,2276958,111.4415,1319356
44,2019-04-30,111.59,142.37,111.38,136.97,2812897,127.4935,1374507
45,2019-05-31,137.5,138.17,130.55,132.04,1457047,133.8935,827636
46,2019-06-28,132.02,143.51,131.49,139.64,1203508,138.7915,675999
47,2019-07-31,140.45,147.15,139.22,143.01,1140458,143.048,602465
48,2019-08-30,143.37,144.53,131.02,137.26,1561355,136.391,795302
49,2019-09-30,136.37,140.08,128.92,130.32,1050163,134.4185,571065
50,2019-10-31,130.8,133.68,127.54,129.92,1096915,130.362,572207
51,2019-11-29,130.99,153.41,130.51,151.58,2076879,143.423,1009788
52,2019-12-31,152.94,152.97,143.26,144.63,967813,147.0525,510501
53,2020-01-31,145.29,148.2,134.83,138.31,1272079,142.184,673501
54,2020-02-28,139.79,147.3,113.21,117.65,2063895,132.6555,1082953
55,2020-03-31,119.13,121.78,79.07,96.6,4641747,99.184,2514019
56,2020-04-30,93.5,112.7,92.56,108.15,2814687,102.7135,1482332
57,2020-05-29,106.36,123.78,98.95,117.3,3533664,110.04,1721684
58,2020-06-30,117.26,127.82,108.02,111.51,2219240,116.994,1187845
59,2020-07-31,112.88,122.09,112.0,116.94,1671574,116.8175,914249
60,2020-08-14,116.17,133.0,115.35,130.53,1303149,127.781,628712
