,date,open,high,low,close,volume,average,barCount
0,2015-08-31,123.14,126.75,85.5,115.03,2582401,109.7095,1183885
1,2015-09-30,109.36,111.24,93.55,103.26,4473671,100.73,1927515
2,2015-10-30,102.78,115.83,96.26,108.38,3898285,105.261,1765552
3,2015-11-30,109.2,126.6,101.86,123.33,2831996,115.78,1289314
4,2015-12-31,124.47,133.27,113.85,114.38,2832018,123.009,1251878
5,2016-01-29,109.0,122.18,90.11,91.84,4320867,105.5605,2085954
6,2016-02-29,91.84,97.48,79.95,93.41,3494410,89.5025,1663832
7,2016-03-31,94.58,104.91,93.61,102.23,2837480,99.0295,1281534
8,2016-04-29,102.93,111.85,88.21,90.03,2931335,99.8405,1340036
9,2016-05-31,90.41,104.0,85.74,102.57,2376292,93.0545,1097988
10,2016-06-30,101.5,102.15,84.81,91.48,1915218,93.8325,915417
11,2016-07-29,95.0,101.27,84.5,91.25,2700118,91.7485,1236096
12,2016-08-31,91.21,98.85,90.5,97.45,1605648,95.546,770758
13,2016-09-30,97.8,100.35,93.26,98.55,1467936,97.099,766545
14,2016-10-31,98.15,129.29,97.63,124.87,2321459,114.0965,1110170
15,2016-11-30,124.98,125.83,110.68,117.0,1246145,117.9555,656540
16,2016-12-30,117.52,129.07,113.95,123.8,1067434,123.4085,538631
17,2017-01-31,124.88,143.46,124.31,140.71,1490806,135.084,719296
18,2017-02-28,141.2,145.95,139.05,142.13,749209,142.4515,378298
19,2017-03-31,142.84,148.29,138.26,147.81,906384,143.176,499890
20,2017-04-28,146.77,153.52,138.66,152.2,1214966,145.878,668205
21,2017-05-31,151.91,164.75,151.61,163.07,918414,158.3955,510723
22,2017-06-30,163.52,166.87,147.3,149.41,1085574,155.437,600183
23,2017-07-31,149.8,191.5,144.25,181.66,1448771,173.878,747348
24,2017-08-31,182.27,184.62,164.23,174.71,1076891,172.1315,576617
25,2017-09-29,175.55,189.95,172.44,181.35,847481,181.5265,427251
26,2017-10-31,182.11,204.38,176.58,196.43,1655404,195.097,778492
27,2017-11-30,197.24,202.48,184.32,187.58,818724,194.5635,435695
28,2017-12-29,186.99,194.49,178.38,191.96,813022,187.9735,424999
29,2018-01-31,195.92,286.81,195.42,270.3,1696526,240.72,860277
30,2018-02-28,266.41,297.36,236.11,291.38,1365026,270.1615,739060
31,2018-03-29,292.75,333.98,275.9,295.35,1939849,310.3215,1000492
32,2018-04-30,291.94,338.82,271.22,312.46,1923288,308.7695,1005795
33,2018-05-31,310.36,356.1,305.73,351.6,990195,333.6735,504889
34,2018-06-29,353.88,423.21,352.82,391.43,1808173,390.0485,924329
35,2018-07-31,385.8,419.77,328.0,337.45,2262962,377.0235,1169374
36,2018-08-31,335.85,376.81,310.92,367.68,1570645,346.677,808333
37,2018-09-28,366.65,383.2,335.83,374.13,1219323,362.7055,611539
38,2018-10-31,375.85,386.8,271.2,301.78,2700760,330.9725,1384702
39,2018-11-30,304.59,332.05,250.0,286.13,1946881,290.4385,962402
40,2018-12-31,293.19,298.72,231.23,267.66,1802564,265.613,885779
41,2019-01-31,259.28,358.85,256.58,339.5,2325042,325.062,1151343
42,2019-02-28,337.0,371.49,336.5,358.1,1140080,355.2375,558653
43,2019-03-29,362.33,379.0,342.47,356.56,1068333,360.298,568286
44,2019-04-30,359.0,384.8,342.27,370.54,1199272,364.108,653114
45,2019-05-31,374.0,385.99,341.39,343.28,884608,360.854,512432
46,2019-06-28,343.56,375.0,332.65,367.32,786774,355.752,445191
47,2019-07-31,373.32,384.76,305.81,322.99,1407656,338.38,777752
48,2019-08-30,324.25,328.58,287.19,293.75,958563,302.997,525940
49,2019-09-30,290.82,301.55,252.28,267.62,1233287,277.791,668162
50,2019-10-31,267.35,308.75,257.01,287.41,1640720,279.982,918609
51,2019-11-29,288.7,316.82,281.14,314.66,778350,298.436,438716
52,2019-12-31,314.39,338.0,292.02,323.57,828809,314.513,477457
53,2020-01-31,326.1,359.85,321.2,345.09,1106497,338.993,638658
54,2020-02-28,347.24,392.95,346.28,369.03,731427,373.569,454398
55,2020-03-31,372.88,393.52,290.25,375.5,1348224,347.9025,906833
56,2020-04-30,376.05,449.52,357.51,419.85,1481618,412.3855,880887
57,2020-05-29,415.51,458.97,397.86,419.73,907269,432.5185,542630
58,2020-06-30,418.83,474.01,404.25,455.04,714952,438.2655,455282
59,2020-07-31,453.63,575.37,453.63,488.88,1542562,506.648,874684
60,2020-08-14,491.36,510.82,466.55,482.68,284985,490.494,180443
