,date,open,high,low,close,volume,average,barCount
0,2018-12-07,22.0,22.75,18.51,18.6,125364,21.0455,53128
1,2018-12-10,18.9,19.44,18.0,18.8,40263,18.6995,16779
2,2018-12-11,20.55,20.66,17.99,18.01,31441,18.9705,12781
3,2018-12-12,18.55,19.48,18.02,18.68,24848,18.571,11738
4,2018-12-13,19.25,19.29,18.68,18.76,15573,18.961,6552
5,2018-12-14,18.75,18.89,18.25,18.32,6870,18.4565,3599
6,2018-12-17,18.33,18.47,16.9,17.0,14218,17.6835,5925
7,2018-12-18,17.1,17.25,16.25,17.0,14418,16.6185,6050
8,2018-12-19,16.86,17.37,16.0,16.18,9069,16.595,3956
9,2018-12-20,16.0,16.14,14.75,15.5,22912,15.2425,9343
10,2018-12-21,15.4,15.5,13.95,14.47,19668,14.516,7644
11,2018-12-24,14.32,14.32,13.75,14.03,6373,13.9835,3030
12,2018-12-26,14.15,14.31,13.03,13.52,17670,13.5435,7012
13,2018-12-27,13.49,14.95,13.27,14.65,17220,14.243,8003
14,2018-12-28,14.72,14.85,13.81,14.15,8853,14.2105,3856
15,2018-12-31,14.24,15.3,14.21,15.27,9369,14.639,4323
16,2019-01-02,14.93,15.45,14.51,15.33,20378,14.9155,8614
17,2019-01-03,15.49,16.08,15.2,15.5,15312,15.6045,6939
18,2019-01-04,16.0,17.5,15.89,16.96,16044,16.728,7046
19,2019-01-07,17.54,17.94,16.18,16.27,15043,17.1515,7618
20,2019-01-08,17.35,17.47,16.05,16.95,17446,16.694,7146
21,2019-01-09,17.2,17.25,16.15,16.33,11234,16.575,5215
22,2019-01-10,16.36,16.51,16.0,16.48,4624,16.332,1642
23,2019-01-11,16.6,17.06,16.53,17.0,5451,16.9305,2014
24,2019-01-14,17.0,17.06,16.72,16.74,5915,16.8905,2066
25,2019-01-15,17.0,17.0,16.41,16.59,4405,16.6425,1653
26,2019-01-16,16.8,16.95,16.26,16.26,1936,16.54,901
27,2019-01-17,16.05,16.53,16.05,16.31,2372,16.396,1253
28,2019-01-18,16.46,16.8,16.25,16.69,4723,16.5765,2702
29,2019-01-22,16.62,16.64,15.35,15.56,6006,15.887,2862
30,2019-01-23,15.59,15.92,14.76,14.79,6070,15.0585,2410
31,2019-01-24,14.9,15.2,14.64,14.64,4189,14.8605,2157
32,2019-01-25,14.8,14.92,14.4,14.91,8917,14.593,3898
33,2019-01-28,14.84,14.84,14.45,14.45,5114,14.5545,2508
34,2019-01-29,14.46,14.88,14.45,14.63,5632,14.616,2495
35,2019-01-30,14.72,15.55,14.65,15.13,6328,15.1095,2528
36,2019-01-31,15.24,17.48,15.24,16.6,21824,16.727,6586
37,2019-02-01,16.8,17.01,15.9,16.22,5606,16.411,2557
38,2019-02-04,16.22,16.49,15.95,16.27,2646,16.2075,1313
39,2019-02-05,16.29,17.49,16.2,17.18,6021,17.0645,2710
40,2019-02-06,17.25,18.39,17.11,18.14,9556,17.9635,4366
41,2019-02-07,17.95,18.07,17.04,17.05,4924,17.4205,2342
42,2019-02-08,17.1,18.15,17.1,17.99,6623,17.694,2815
43,2019-02-11,17.99,18.65,17.75,18.17,5389,18.1735,2233
44,2019-02-12,18.21,18.76,17.6,18.69,6977,18.368,3603
45,2019-02-13,18.99,19.22,18.3,18.53,12772,18.6595,6392
46,2019-02-14,18.64,19.96,18.63,19.66,10278,19.332,5064
47,2019-02-15,19.94,21.47,19.7,21.44,19207,20.761,9479
48,2019-02-19,21.51,21.52,20.05,20.83,11320,20.72,5694
49,2019-02-20,21.12,21.24,19.13,19.92,10578,19.97,4873
50,2019-02-21,19.74,19.98,18.88,19.34,7676,19.379,3603
51,2019-02-22,19.35,20.04,19.35,19.88,5302,19.816,2555
52,2019-02-25,20.54,22.3,19.83,21.65,18243,21.052,8035
53,2019-02-26,21.6,24.4,21.56,23.7,23858,23.301,11252
54,2019-02-27,23.37,23.83,21.53,22.1,14616,22.689,7588
55,2019-02-28,22.45,23.03,22.05,22.6,4700,22.649,2359
56,2019-03-01,23.09,23.39,21.64,22.27,8014,22.586,4385
57,2019-03-04,22.47,22.8,20.52,21.12,10390,21.451,5431
58,2019-03-05,21.18,21.49,20.29,21.37,9807,21.0315,5575
59,2019-03-06,21.4,22.05,20.06,20.65,9552,20.6965,5351
60,2019-03-07,20.42,21.16,19.61,20.59,9134,20.497,4997
61,2019-03-08,20.37,21.08,19.9,20.93,5698,20.6385,3438
62,2019-03-11,20.99,20.99,19.97,20.43,6030,20.4165,3169
63,2019-03-12,20.52,20.89,19.12,19.26,12408,19.8265,6211
64,2019-03-13,19.3,20.26,19.23,19.97,6670,19.8,4109
65,2019-03-14,19.92,21.0,19.92,20.82,7928,20.531,4793
66,2019-03-15,20.99,22.19,20.89,21.82,10863,21.711,5897
67,2019-03-18,21.74,22.22,21.22,22.18,8921,21.6485,3800
68,2019-03-19,22.47,22.6,20.18,20.35,8992,21.058,4594
69,2019-03-20,20.41,20.98,19.9,20.0,7581,20.173,3212
70,2019-03-21,20.0,20.25,19.21,19.34,7742,19.6665,3950
71,2019-03-22,19.38,19.7,18.75,19.0,4396,19.132,2451
72,2019-03-25,19.0,19.59,18.21,19.4,5906,18.976,3129
73,2019-03-26,19.61,19.94,19.24,19.9,3282,19.557,1991
74,2019-03-27,20.08,20.08,18.89,19.27,5170,19.3135,2503
75,2019-03-28,19.3,19.74,19.0,19.66,3716,19.3705,2109
76,2019-03-29,19.87,20.8,19.47,20.35,5826,20.264,2907
77,2019-04-01,20.54,20.92,20.04,20.59,4964,20.394,2348
78,2019-04-02,20.68,20.68,19.54,19.7,4833,20.06,2144
79,2019-04-03,19.92,21.67,19.81,21.33,8473,20.8095,3007
80,2019-04-04,21.12,23.18,21.04,23.08,16121,22.588,6599
81,2019-04-05,23.8,26.23,22.66,25.96,18734,24.509,7427
82,2019-04-08,25.9,29.79,25.6,27.23,24825,27.9855,8217
83,2019-04-09,27.3,28.4,26.31,26.82,9484,27.168,4677
84,2019-04-10,26.9,27.74,26.5,26.8,5670,27.1165,2674
85,2019-04-11,26.82,26.99,24.26,25.73,9185,25.4115,4387
86,2019-04-12,26.0,26.06,24.27,24.61,6261,24.9695,3115
87,2019-04-15,24.99,25.94,24.62,25.84,5082,25.47,2317
88,2019-04-16,26.0,26.22,23.65,23.78,8519,24.6015,3958
89,2019-04-17,24.0,24.12,22.31,23.5,8155,23.128,4525
90,2019-04-18,23.47,23.55,22.43,22.51,6597,22.666,3195
91,2019-04-22,22.7,23.99,22.51,23.63,4333,23.5195,2175
92,2019-04-23,23.73,24.99,23.73,24.7,5354,24.6115,3460
93,2019-04-24,24.8,25.76,24.29,25.76,5989,25.1475,3503
94,2019-04-25,25.76,26.72,25.43,25.74,5363,26.026,2570
95,2019-04-26,25.83,27.3,25.69,26.26,5556,26.6335,2433
96,2019-04-29,26.28,27.2,24.97,25.14,9460,26.158,4020
97,2019-04-30,25.28,26.03,25.0,26.03,4733,25.5945,2804
98,2019-05-01,26.31,27.09,25.87,26.4,10356,26.478,3929
99,2019-05-02,26.33,28.49,26.19,28.34,9846,27.6375,5550
100,2019-05-03,28.89,28.95,26.85,27.2,7411,27.6575,4488
101,2019-05-06,26.38,27.81,26.25,27.1,5913,27.289,3184
102,2019-05-07,27.18,27.26,24.16,24.55,9309,25.2725,5590
103,2019-05-08,23.7,26.0,23.53,23.54,8806,24.3255,5070
104,2019-05-09,23.5,24.0,22.75,23.26,4635,23.17,2579
105,2019-05-10,23.04,24.93,22.8,24.92,4671,23.8525,2548
106,2019-05-13,24.46,24.77,23.22,24.43,4219,24.146,2579
107,2019-05-14,24.5,24.89,23.57,23.59,4136,24.0915,2415
108,2019-05-15,23.46,23.84,22.81,23.12,6786,23.3495,3975
109,2019-05-16,23.5,24.05,23.15,23.46,4819,23.5895,2611
110,2019-05-17,23.31,23.43,21.68,23.08,11750,22.591,5288
111,2019-05-20,22.85,23.6,22.55,22.6,4989,23.047,3041
112,2019-05-21,22.65,23.16,22.43,22.7,4267,22.8215,2239
113,2019-05-22,22.65,22.77,21.93,22.0,4772,22.182,2224
114,2019-05-23,21.75,21.94,21.01,21.38,5705,21.4,3355
115,2019-05-24,21.56,22.0,21.41,21.83,4778,21.71,3160
116,2019-05-28,22.3,22.46,21.44,21.54,4032,21.7415,2055
117,2019-05-29,21.71,21.9,21.16,21.7,3219,21.566,1690
118,2019-05-30,21.84,21.9,21.05,21.49,3274,21.3985,1935
119,2019-05-31,21.16,21.38,20.74,20.78,3806,20.9645,2393
120,2019-06-03,20.79,20.99,18.82,19.85,9170,19.784,5003
121,2019-06-04,19.76,20.74,19.23,19.47,9700,19.764,4399
122,2019-06-05,19.2,19.2,17.2,17.7,32398,18.004,14454
123,2019-06-06,17.83,18.93,17.61,17.94,57818,17.881,13501
124,2019-06-07,17.71,18.4,17.3,17.52,16802,17.855,9130
125,2019-06-10,17.85,17.99,15.67,15.67,23120,16.597,11326
126,2019-06-11,16.09,16.88,15.75,16.0,50285,16.1395,12592
127,2019-06-12,16.11,16.36,15.62,16.3,18083,15.987,8793
128,2019-06-13,16.42,17.59,16.05,16.16,13913,16.559,7867
