,date,open,high,low,close,volume,average,barCount
0,2015-08-17,99.0,100.91,98.92,100.66,45029,100.3525,24677
1,2015-08-18,100.0,101.44,100.0,100.76,36144,100.953,21245
2,2015-08-19,100.26,101.88,100.19,101.1,50871,101.0485,29431
3,2015-08-20,100.73,101.0,99.74,99.76,55319,100.491,33749
4,2015-08-21,99.38,99.39,97.13,97.13,86824,98.089,54020
5,2015-08-24,91.58,95.88,87.5,92.87,112604,93.518,72939
6,2015-08-25,95.47,95.48,91.03,91.21,87311,93.3845,53478
7,2015-08-26,92.93,95.2,91.47,95.15,134118,93.022,73055
8,2015-08-27,95.9,97.37,95.57,97.33,75684,96.485,47815
9,2015-08-28,96.05,96.66,95.78,96.25,46481,96.119,29528
10,2015-08-31,95.77,95.88,94.85,95.02,35080,95.282,21785
11,2015-09-01,92.77,94.28,92.6,93.47,60193,93.603,39725
12,2015-09-02,95.63,96.12,94.55,96.04,56340,95.4565,32946
13,2015-09-03,96.8,97.43,95.58,96.01,53689,96.492,30100
14,2015-09-04,95.05,95.58,94.31,94.85,32681,94.8815,21641
15,2015-09-08,96.31,96.88,95.49,96.78,43816,96.2925,26318
16,2015-09-09,97.29,97.39,95.22,95.43,40319,96.1555,26418
17,2015-09-10,94.96,95.85,94.75,95.25,50716,95.326,30243
18,2015-09-11,95.47,97.42,95.26,97.41,52236,96.628,34363
19,2015-09-14,97.36,97.66,96.63,96.97,33657,97.06,20436
20,2015-09-15,97.29,98.59,96.74,98.19,38367,97.868,23829
21,2015-09-16,98.65,98.74,97.53,98.69,43190,98.3405,25602
22,2015-09-17,98.57,98.97,97.39,97.84,67027,98.209,31786
23,2015-09-18,96.82,97.7,96.25,97.05,61854,96.9915,27126
24,2015-09-21,97.48,98.17,97.01,97.9,37579,97.641,25025
25,2015-09-22,97.12,98.08,96.71,97.2,39650,97.1335,26891
26,2015-09-23,97.24,97.85,97.01,97.38,25298,97.4325,17557
27,2015-09-24,96.83,97.43,96.29,97.29,33229,96.8255,22438
28,2015-09-25,97.89,98.7,97.46,97.59,38931,97.9815,23869
29,2015-09-28,97.0,97.74,95.78,95.96,49632,96.652,30007
30,2015-09-29,97.46,97.79,96.8,97.48,59625,97.298,38054
31,2015-09-30,98.21,98.7,97.76,98.53,42206,98.297,26458
32,2015-10-01,98.5,99.0,97.67,98.78,37881,98.3535,24220
33,2015-10-02,97.33,99.77,97.13,99.79,36670,98.705,23517
34,2015-10-05,100.27,101.64,100.2,101.17,48025,101.016,29636
35,2015-10-06,101.26,102.3,101.16,101.9,57085,101.858,32635
36,2015-10-07,100.75,101.9,100.34,101.77,57058,101.178,34818
37,2015-10-08,101.85,103.47,101.77,102.95,71907,102.762,42105
38,2015-10-09,103.0,103.44,102.27,102.76,42640,102.732,25460
39,2015-10-12,102.68,103.32,102.51,103.24,28447,103.0025,17919
40,2015-10-13,102.85,103.51,102.63,103.38,34950,103.2,19886
41,2015-10-14,104.15,104.93,102.43,102.82,76440,103.754,40047
42,2015-10-15,102.57,105.2,101.6,103.66,91130,103.3445,51442
43,2015-10-16,104.72,105.01,103.41,104.82,55207,104.3185,30483
44,2015-10-19,104.24,105.15,104.15,104.49,45878,104.615,25504
45,2015-10-20,104.05,104.35,103.42,103.84,41987,103.92,26441
46,2015-10-21,103.98,104.26,102.08,102.54,69065,103.035,42192
47,2015-10-22,110.4,111.0,108.38,110.87,195850,110.0005,96216
48,2015-10-23,111.18,112.87,111.1,112.59,98991,112.1835,51546
49,2015-10-26,112.3,113.96,111.82,112.18,101581,112.8685,54960
50,2015-10-27,112.27,112.35,110.59,111.64,72060,111.372,43266
51,2015-10-28,111.69,112.95,111.4,112.94,37008,112.2515,23659
52,2015-10-29,112.66,112.95,111.89,112.62,32705,112.4275,20893
53,2015-10-30,112.91,113.29,112.26,112.25,42925,112.7475,26981
54,2015-11-02,112.5,112.84,111.23,112.11,48369,111.9415,28417
